date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:34:36	28909/28909	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Feb%202020%2000:47:52%20GMT	http://rachoudhury.com/foodshape/	C:/Users/user/Desktop/foodshape/rachoudhury.com/foodshape/index.html	(from )
19:34:37	355/355	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2015%20Mar%202022%2022:06:30%20GMT	http://rachoudhury.com/robots.txt		(from )
19:34:38	17092/17092	---M--	200	added ('OK')	image/png	date:Wed,%2025%20Jul%202018%2009:25:32%20GMT	http://rachoudhury.com/foodshape/images/fevicon.png	C:/Users/user/Desktop/foodshape/rachoudhury.com/foodshape/images/fevicon.png	(from http://rachoudhury.com/foodshape/)
19:34:38	31000/31000	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Jul%202018%2021:43:44%20GMT	http://rachoudhury.com/foodshape/css/font-awesome.min.css	C:/Users/user/Desktop/foodshape/rachoudhury.com/foodshape/css/font-awesome.min.css	(from http://rachoudhury.com/foodshape/)
19:34:39	3382/3382	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Jul%202018%2021:43:44%20GMT	http://rachoudhury.com/foodshape/fonts/flaticon.css	C:/Users/user/Desktop/foodshape/rachoudhury.com/foodshape/fonts/flaticon.css	(from http://rachoudhury.com/foodshape/)
19:34:40	3351/3351	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Jul%202018%2021:43:44%20GMT	http://rachoudhury.com/foodshape/css/owl.carousel.min.css	C:/Users/user/Desktop/foodshape/rachoudhury.com/foodshape/css/owl.carousel.min.css	(from http://rachoudhury.com/foodshape/)
19:34:40	1380/1380	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Jul%202018%2021:43:44%20GMT	http://rachoudhury.com/foodshape/css/owl.theme.default.css	C:/Users/user/Desktop/foodshape/rachoudhury.com/foodshape/css/owl.theme.default.css	(from http://rachoudhury.com/foodshape/)
19:34:41	7303/7303	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Jul%202018%2021:43:44%20GMT	http://rachoudhury.com/foodshape/css/magnific-popup.css	C:/Users/user/Desktop/foodshape/rachoudhury.com/foodshape/css/magnific-popup.css	(from http://rachoudhury.com/foodshape/)
19:34:44	144877/144877	---M--	200	added ('OK')	text/css	date:Tue,%2024%20Jul%202018%2021:43:44%20GMT	http://rachoudhury.com/foodshape/css/bootstrap.min.css	C:/Users/user/Desktop/foodshape/rachoudhury.com/foodshape/css/bootstrap.min.css	(from http://rachoudhury.com/foodshape/)
19:34:44	30437/30437	---M--	200	added ('OK')	text/css	date:Mon,%2024%20Feb%202020%2013:52:42%20GMT	http://rachoudhury.com/foodshape/css/blog/blog.css	C:/Users/user/Desktop/foodshape/rachoudhury.com/foodshape/css/blog/blog.css	(from http://rachoudhury.com/foodshape/)
19:34:44	32014/32014	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Feb%202020%2000:48:06%20GMT	http://rachoudhury.com/foodshape/css/style.css	C:/Users/user/Desktop/foodshape/rachoudhury.com/foodshape/css/style.css	(from http://rachoudhury.com/foodshape/)
19:34:45	3588/3588	---M--	200	added ('OK')	text/css	date:Tue,%2025%20Feb%202020%2000:29:42%20GMT	http://rachoudhury.com/foodshape/css/responsive.css	C:/Users/user/Desktop/foodshape/rachoudhury.com/foodshape/css/responsive.css	(from http://rachoudhury.com/foodshape/)
19:34:46	28909/28909	---M-Z	200	added ('OK')	text/html	date:Tue,%2025%20Feb%202020%2000:47:52%20GMT	http://rachoudhury.com/foodshape/index.html	C:/Users/user/Desktop/foodshape/rachoudhury.com/foodshape/index-2.html	(from http://rachoudhury.com/foodshape/)
19:34:46	5416/5416	---M--	200	added ('OK')	image/png	date:Tue,%2024%20Jul%202018%2021:43:46%20GMT	http://rachoudhury.com/foodshape/images/logo.png	C:/Users/user/Desktop/foodshape/rachoudhury.com/foodshape/images/logo.png	(from http://rachoudhury.com/foodshape/)
